"ScholarshipTitle","Provider","AwardAmount","ApplicationWindow","ApplicationDeadline","ApplicationLink","Tags","Status","LastVerified","Eligibility Criteria"
"The Purple Heart Scholarship Program","Military Order of the Purple Heart","Varies","February 1-May 1, 2026",,"https://www.purpleheart.org/ScholarshipProgram","[""Military"",""Active Duty"",""STEM"",""Marines""]",,,
"RTX Patriot Scholarship","RTX and Student Veterans of America","10000","Generally open February-March
Waiting for 2026 dates to be released as of 2/26/26",,"RTX Patriot Scholarship - Student Veterans of America®",,,,
"RTX SPY-6 Scholarship","RTX and Student Veterans of America","10000","Generally open February-March
Waiting for 2026 dates to be released as of 2/26/26",,"RTX SPY-6 Scholarship - Student Veterans of America®",,,,
"Comcast NBCUniversal-SVA Scholarship","Comcast NBCUniversal and Student Veterans of America","12000","Generally open February-April
Waiting for 2026 dates to be released as of 2/26/26",,"Comcast NBCUniversal-SVA Scholarship - Student Veterans of America®",,,,
"Google SVA Scholarship","Google and Student Veterans of America","10000","Generally open March-April
Waiting for 2026 dates to be released as of 2/26/26",,"Google SVA Scholarship - Student Veterans of America®",,,,
"The Deana and Paul Strunk Military Veterans Scholarship Program","AAPG Foundation","$2,500-$5,000","February 1-May 30, 2026",,"About MVSP (aapg.org)",,,,
"John Edelman Scholars Scholarship","Student Veterans of America","10000","Generally open February-March
Waiting for 2026 dates to be released as of 2/26/26",,"John Edelman Scholars Scholarship - Student Veterans of America®",,,,
"USS Bowfin Memorial Scholarship","Dolphin Scholarship Foundation and the Pacific Fleet Submarine Memorial Association (PFSMA)","$2,500-5,000","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"Laura W. Bush Scholarship","Dolphin Scholarship Foundation","4000","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Colorado (SSN 788) Scholarship","Dolphin Scholarship Foundation","2000","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Delaware (SSN 791) Scholarship","Dolphin Scholarship Foundation","3500","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Indiana (SSN 789) Diane Donald Scholarship","Dolphin Scholarship Foundation","3400","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Hampton (SSN 767) Scholarship","Dolphin Scholarship Foundation","1500","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Montana (SSN 794) Scholarship","Dolphin Scholarship Foundation","2000","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"Nautilus Scholarship","The Nautilus Scholarship Foundation","Varies","October 1, 2025-May 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
"USS Oregon (SSN 793) Scholarship","Dolphin Scholarship Foundation","3500","October 1, 2025-March 15, 2026",,"Scholarships | Dolphin Scholarship Foundation",,,,
